,,,,,,,,,,,,,,,,,,,,,
CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,DRIVERS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Refugees in Sudan,Refugees,SDN005,Sudan,SDN,Displacement,3.3,4,High,Stable,High,3.3,2.2,3.7,3.2,3.4,3,3.3,4.2,2,Africa,2023-01-24 00:00:00
Floods in Sudan ,Floods,SDN006,Sudan,SDN,Floods,2.8,3,Medium,Decreasing,Very High,3.7,4.8,2.8,1.45,1.9,1,3.9,4.2,3.5,Africa,2023-01-24 00:00:00
Violence in Darfur and Kordofan regions,Violence in Darfur and Kordofan regions,SDN008,Sudan,SDN,Violence,4,4,High,Decreasing,Very High,3.7,3.1,3.9,4.4,4.8,4,3.5,4.2,2.5,Africa,2023-01-24 00:00:00
Drought in Senegal,Drought,SEN002,Senegal,SEN,Drought,2.4,3,Medium,Stable,Very High,3,4.5,1.8,2.6,3.2,2,1.6,2.2,1,Africa,2022-12-27 00:00:00
Complex crisis in El Salvador,Complex crisis,SLV001,El Salvador,SLV,"Displacement,Violence,Floods,Drought",3.1,4,High,Stable,Very High,3.3,3.8,3,3.35,3.7,3,2.7,2.4,3,Americas,2023-01-24 00:00:00
Complex crisis in Somalia,Complex crisis,SOM001,Somalia,SOM,"Conflict,Displacement,Floods,Drought",4.4,5,Very High,Stable,High,4.8,4.7,4.9,4.4,4.8,4,4.2,3.9,4.5,Africa,2022-12-20 00:00:00
Mixed Migration Flows in Somalia,Mixed Migration,SOM002,Somalia,SOM,Displacement,1.9,2,Low,Increasing,Very High,1.8,1.5,2,0.95,0.9,1,3.3,3.9,2.5,Africa,2023-01-26 00:00:00
Complex crisis in South Sudan,Complex crisis,SSD001,South Sudan,SSD,"Conflict,Floods,Displacement",4.4,5,Very High,Decreasing,High,4.6,4.6,4.6,4.5,5,4,4.2,3.8,4.5,Africa,2023-01-28 00:00:00
2022 seasonal floods in South Sudan,2022 floods,SSD003,South Sudan,SSD,Floods,3.5,4,High,Increasing,High,3.4,4.4,2.7,3.15,3.3,3,4.2,3.8,4.5,Africa,2023-01-28 00:00:00
Displacement from Ukraine conflict in Slovakia,Displacement from Ukraine conflict,SVK002,Slovakia,SVK,"Displacement,Conflict",1.8,2,Low,Decreasing,Very High,1.5,1.4,1.6,2.35,1.7,3,1.1,1.1,1,Europe,2023-01-16 00:00:00
Food Security Crisis in Eswatini,Food Security Crisis,SWZ001,Eswatini,SWZ,Drought,2.3,3,Medium,Increasing,High,2,3.1,1.4,2.7,2.4,3,1.8,2.5,1,Africa,2023-01-10 00:00:00
Syrian conflict,Conflict,SYR001,Syria,SYR,"Conflict,Displacement,Violence",4.6,5,Very High,Stable,High,4.8,4.5,4.9,4.5,5,4,4.5,4.4,4.5,Middle east,2023-01-23 00:00:00
Complex crisis in Chad,Complex crisis,TCD001,Chad,TCD,"Conflict,Displacement",4.4,5,Very High,Stable,Medium,3.9,4.7,3.4,4.8,4.6,5,4.2,3.8,4.5,Africa,2023-01-16 00:00:00
Boko Haram in Chad,Boko Haram ,TCD003,Chad,TCD,Conflict,3.9,4,High,Increasing,Medium,2.9,0.7,3.6,4.1,3.2,5,4.2,3.8,4.5,Africa,2023-01-16 00:00:00
CAR refugees in Chad,CAR refugees,TCD004,Chad,TCD,Displacement,3.7,4,High,Stable,Medium,2.3,1.7,2.5,4.25,3.5,5,3.7,3.8,3.5,Africa,2023-01-16 00:00:00
Darfur refugees in Chad,Darfur refugees,TCD005,Chad,TCD,Displacement,3.8,4,High,Stable,High,2.5,1.7,2.8,4.25,3.5,5,3.7,3.8,3.5,Africa,2023-01-16 00:00:00
Tibesti Conflict in Chad,Tibesti conflict,TCD006,Chad,TCD,Conflict,2.6,3,Medium,Decreasing,Medium,2.4,1.3,2.8,2.2,0.4,4,3.4,3.8,3,Africa,2022-12-02 00:00:00
Multiple situations in Thailand,Country level,THA001,Thailand,THA,"Conflict,Displacement",1.8,2,Low,Stable,High,2,1.2,2.4,1.3,1.6,1,2.5,2.5,2.5,Asia,2023-01-30 00:00:00
Conflict in southern Thailand ,Conflict,THA002,Thailand,THA,Conflict,x,x,x,-,Low,1.7,1.1,2,x,x,x,2,2.5,1.5,Asia,2023-01-30 00:00:00
Myanmar refugees in Thailand,Refugees,THA003,Thailand,THA,Conflict,2.3,3,Medium,Increasing,Medium,2.2,0.5,2.8,2.3,1.6,3,2.3,2.5,2,Asia,2023-01-30 00:00:00
Venezuelan refugees in Trinidad and Tobago,Venezuelan refugees,TTO002,Trinidad and Tobago,TTO,Displacement,2,2,Low,Increasing,Very High,2.8,2.9,2.8,1.45,0.9,2,2.2,1.9,2.5,Americas,2022-12-23 00:00:00
Mixed migration flows in Tunisia,Mixed Migration,TUN002,Tunisia,TUN,Displacement,1.8,2,Low,Stable,Very High,3.2,4.3,2.5,0.55,0.1,1,2.2,2.3,2,Africa,2023-01-30 00:00:00
Complex situation in Türkiye,Country level,TUR001,Türkiye,TUR,"Displacement,Conflict",3,3,Medium,Decreasing,High,3.8,4.3,3.5,2.45,3.9,1,3,3,3,Middle east,2023-01-20 00:00:00
Syrian Refugees in Türkiye,Syrian refugees,TUR002,Türkiye,TUR,Displacement,3.2,4,High,Stable,Medium,3.8,2.9,4.2,3.4,3.8,3,2.5,3,2,Middle east,2023-01-20 00:00:00
Mixed Migration Flows in Türkiye,Mixed Migration,TUR003,Türkiye,TUR,Displacement,2.3,3,Medium,Decreasing,High,2.7,3.1,2.5,2.05,2.1,2,2.5,3,2,Middle east,2023-01-20 00:00:00
Kurdish Conflict,Kurdish conflict,TUR004,Türkiye,TUR,Conflict,x,x,x,-,Medium,2.8,2.4,3,x,x,x,2.8,3,2.5,Middle east,2023-01-20 00:00:00
Multiple Crises in Tanzania,Country level,TZA001,Tanzania,TZA,"Displacement,Drought",2.8,3,Medium,Stable,Very High,3.2,3.4,3.1,3.3,3.6,3,1.8,2.1,1.5,Africa,2023-01-20 00:00:00
International Displacement in Tanzania,Refugees,TZA002,Tanzania,TZA,Displacement,2.3,3,Medium,Stable,Very High,3.2,2.5,3.5,2.15,2.3,2,1.8,2.1,1.5,Africa,2023-01-20 00:00:00
Food Security Crisis in North-East Tanzania,Food security in North-East,TZA003,Tanzania,TZA,Drought,2.5,3,Medium,Increasing,Very High,2,2.6,1.6,3.2,3.4,3,1.6,2.1,1,Africa,2023-01-20 00:00:00
Multiple crises in Uganda,Country level,UGA001,Uganda,UGA,"Displacement,Drought,Violence,Epidemic",3.3,4,High,Stable,Very High,3.6,2.1,4.1,3.45,3.9,3,2.9,3.6,2,Africa,2022-12-20 00:00:00
International Displacement in Uganda,Refugees,UGA005,Uganda,UGA,Displacement,3.2,4,High,Stable,Medium,3.3,1.7,3.9,3.4,3.8,3,2.9,3.6,2,Africa,2022-12-20 00:00:00
Food Security Crisis in Karamoja Region,Food Security Crisis in Karamoja Region,UGA007,Uganda,UGA,"Drought,Violence,Epidemic",2.9,3,Medium,Stable,High,3.3,0.9,4.1,2.75,2.5,3,2.7,3.6,1.5,Africa,2022-12-01 00:00:00
Conflict in Ukraine,Conflict,UKR002,Ukraine,UKR,"Conflict,Displacement",4.1,5,Very High,Decreasing,Very High,5,4.9,5,4.5,5,4,2.8,2.6,3,Europe,2023-01-31 00:00:00
Complex crisis in Venezuela,Complex crisis,VEN001,Venezuela,VEN,"Socio-political,Violence,Floods",4,4,High,Stable,High,4.4,4.9,4,4,5,3,3.8,3.5,4,Americas,2023-01-31 00:00:00
Conflict in Yemen,Complex crisis,YEM001,Yemen,YEM,Conflict,4.6,5,Very High,Decreasing,High,4.1,4.8,3.6,5,5,5,4.2,3.9,4.5,Middle east,2022-12-02 00:00:00
Mixed migration flows in Yemen,Mixed Migration,YEM002,Yemen,YEM,Displacement,2.3,3,Medium,Decreasing,High,2.3,1.6,2.6,1.35,1.7,1,3.7,3.9,3.5,Middle east,2022-12-02 00:00:00
Drought in Zambia,Drought,ZMB002,Zambia,ZMB,Drought,2.9,3,Medium,Increasing,High,3.1,4.3,2.2,3.4,3.8,3,1.9,1.8,2,Africa,2023-01-21 00:00:00
Complex crisis in Zimbabwe,Complex crisis,ZWE001,Zimbabwe,ZWE,"Socio-political,Drought",3.9,4,High,Increasing,High,3.8,4.6,3.3,4.35,4.7,4,3.2,3.3,3,Africa,2023-01-10 00:00:00
