,,,,,,,,,,,,,,,,,,,,,
CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Violence in Darfur and Kordofan regions,Violence in Darfur and Kordofan regions,SDN008,Sudan,SDN,Other type of violence,4.3,5,Very High,Increasing,Very High,3.4,3.2,3.5,4.9,4.8,5,3.7,4.2,3,Africa,2022-08-21 00:00:00
Drought in Senegal,Drought,SEN002,Senegal,SEN,Drought,2.4,3,Medium,Stable,Very High,2.9,4.5,1.7,2.55,3.1,2,1.9,2.2,1.5,Africa,2022-08-31 00:00:00
Complex crisis in El Salvador,Complex crisis,SLV001,El Salvador,SLV,Complex crisis,3.2,4,High,Increasing,Very High,3.4,3.8,3.2,3.35,3.7,3,2.7,2.4,3,Americas,2022-08-19 00:00:00
Complex crisis in Somalia,Complex crisis,SOM001,Somalia,SOM,Complex crisis,4.4,5,Very High,Increasing,High,4.8,4.7,4.9,4.4,4.8,4,4.2,3.8,4.5,Africa,2022-08-30 00:00:00
Mixed Migration Flows in Somalia,Mixed Migration,SOM002,Somalia,SOM,International displacement,1.8,2,Low,Stable,High,1.6,1.5,1.6,0.95,0.9,1,3.2,3.8,2.5,Africa,2022-08-30 00:00:00
Complex crisis in South Sudan,Complex crisis,SSD001,South Sudan,SSD,Complex crisis,4.6,5,Very High,Stable,High,4.6,4.6,4.6,4.95,4.9,5,4.2,3.8,4.5,Africa,2022-08-01 00:00:00
Displacement from Ukraine conflict in Slovakia,Displacement from Ukraine conflict,SVK002,Slovakia,SVK,International displacement,2.3,3,Medium,Increasing,Very High,2.3,1.7,2.5,3.05,3.1,3,1.1,1.1,1,Europe,2022-08-25 00:00:00
Food Security Crisis in Eswatini,Food Security Crisis,SWZ001,Eswatini,SWZ,Food Security,2.1,3,Medium,Decreasing,High,2,3.1,1.3,2.55,2.1,3,1.6,2.5,0.5,Africa,2022-08-12 00:00:00
Syrian conflict,Conflict,SYR001,Syria,SYR,Complex crisis,4.6,5,Very High,Stable,High,4.8,4.6,4.9,4.5,5,4,4.5,4.4,4.5,Middle east,2022-08-31 00:00:00
Complex crisis in Chad,Complex crisis,TCD001,Chad,TCD,Multiple crises country,4.4,5,Very High,Increasing,Medium,3.9,4.7,3.4,4.8,4.6,5,4.2,3.8,4.5,Africa,2022-07-27 00:00:00
Boko Haram in Chad,Boko Haram ,TCD003,Chad,TCD,Conflict,3.8,4,High,Increasing,High,2.9,0.7,3.7,4.1,3.2,5,3.9,3.8,4,Africa,2022-07-27 00:00:00
CAR refugees in Chad,CAR refugees,TCD004,Chad,TCD,International displacement,3.7,4,High,Increasing,High,2.7,1.7,3.1,4.25,3.5,5,3.4,3.8,3,Africa,2022-08-01 00:00:00
Darfur refugees in Chad,Darfur refugees,TCD005,Chad,TCD,International displacement,3.7,4,High,Increasing,Very High,3.1,1.7,3.6,4.25,3.5,5,3.2,3.8,2.5,Africa,2022-08-30 00:00:00
Tibesti Conflict in Chad,Tibesti conflict,TCD006,Chad,TCD,Conflict,2.7,3,Medium,Increasing,Medium,2.9,1.3,3.5,2.2,0.4,4,3.2,3.8,2.5,Africa,2022-07-27 00:00:00
Multiple situations in Thailand,Country level,THA001,Thailand,THA,Multiple crises country,1.8,2,Low,Stable,High,2,1.2,2.4,1.3,1.6,1,2.5,2.5,2.5,Asia,2022-08-27 00:00:00
Conflict in southern Thailand ,Conflict,THA002,Thailand,THA,Conflict,x,x,x,-,Low,1.6,1.1,1.8,x,x,x,2,2.5,1.5,Asia,2022-08-27 00:00:00
Myanmar refugees in Thailand,Refugees,THA003,Thailand,THA,International displacement,2.2,3,Medium,Decreasing,Medium,2.2,0.5,2.8,2.3,1.6,3,2,2.5,1.5,Asia,2022-08-27 00:00:00
Tonga Volcano Eruption,Volcano Eruption,TON002,Tonga,TON,Volcano,1.3,2,Low,Stable,Very High,2,2.5,1.7,1,0,2,1.1,1.1,1,Pacific,2022-05-16 00:00:00
Venezuelan refugees in Trinidad and Tobago,Venezuelan refugees,TTO002,Trinidad and Tobago,TTO,International displacement,1.9,2,Low,Increasing,Very High,2.6,2.9,2.5,1.45,0.9,2,1.9,1.7,2,Americas,2022-08-31 00:00:00
Mixed migration flows in Tunisia,Mixed Migration,TUN002,Tunisia,TUN,International displacement,1.8,2,Low,-,Very High,3.2,4.3,2.5,0.55,0.1,1,2.2,2.4,2,Africa,2022-08-29 00:00:00
Complex situation in Turkey,Country level,TUR001,Turkey,TUR,Multiple crises country,3.2,4,High,Stable,High,3.5,3.7,3.4,3,4,2,3.3,3.1,3.5,Middle east,2022-08-31 00:00:00
Syrian Refugees in Turkey,Syrian refugees,TUR002,Turkey,TUR,International displacement,3.3,4,High,Stable,High,3.8,2.9,4.2,3.45,3.9,3,2.8,3.1,2.5,Middle east,2022-08-31 00:00:00
Mixed Migration Flows in Turkey,Mixed Migration,TUR003,Turkey,TUR,International displacement,3.2,4,High,Stable,High,3.2,3.1,3.3,3.5,4,3,2.8,3.1,2.5,Middle east,2022-08-31 00:00:00
Kurdish Conflict,Kurdish conflict,TUR004,Turkey,TUR,Conflict,x,x,x,-,Medium,2.8,2.4,3,x,x,x,2.8,3.1,2.5,Middle east,2022-08-31 00:00:00
Multiple Crises in Tanzania,Country level,TZA001,Tanzania,TZA,Multiple crises country,2.7,3,Medium,Increasing,Very High,2.9,2.3,3.2,3.1,3.2,3,1.8,2.1,1.5,Africa,2022-08-30 00:00:00
International Displacement in Tanzania,Refugees,TZA002,Tanzania,TZA,International displacement,2.3,3,Medium,Stable,Very High,3,1.9,3.5,2.15,2.3,2,1.8,2.1,1.5,Africa,2022-08-28 00:00:00
Food Security Crisis in North-East Tanzania,Food security in North-East,TZA003,Tanzania,TZA,Food Security,2.3,3,Medium,Increasing,Very High,1.4,1.4,1.4,3,3,3,1.6,2.1,1,Africa,2022-08-21 00:00:00
Multiple crises in Uganda,Country level,UGA001,Uganda,UGA,Multiple crises country,3.3,4,High,-,Very High,3.5,2.1,4,3.4,3.8,3,2.9,3.6,2,Africa,2022-08-31 00:00:00
International Displacement in Uganda,Refugees,UGA005,Uganda,UGA,International displacement,3.2,4,High,Increasing,Medium,3.2,1.7,3.7,3.3,3.6,3,2.9,3.6,2,Africa,2022-08-31 00:00:00
Food Security Crisis in Karamoja Region,Food Security Crisis in Karamoja Region,UGA007,Uganda,UGA,Food Security,3,3,Medium,-,High,3.7,0.9,4.5,2.75,2.5,3,2.7,3.6,1.5,Africa,2022-08-31 00:00:00
Conflict in Ukraine,Conflict,UKR002,Ukraine,UKR,Conflict,4.2,5,Very High,Increasing,Very High,5,4.9,5,4.5,5,4,3.1,2.6,3.5,Europe,2022-08-29 00:00:00
Complex crisis in Venezuela,Complex crisis,VEN001,Venezuela,VEN,Complex crisis,4,4,High,Decreasing,High,4.2,4.9,3.8,4,5,3,4,3.3,4.5,Americas,2022-08-31 00:00:00
Conflict in Yemen,Complex crisis,YEM001,Yemen,YEM,Complex crisis,4.7,5,Very High,Stable,Very High,4.7,4.8,4.6,5,5,5,4.2,3.9,4.5,Middle east,2022-07-01 00:00:00
Mixed migration flows in Yemen,Mixed Migration,YEM002,Yemen,YEM,International displacement,3.1,4,High,Decreasing,High,3.2,3.5,3.1,2.7,2.4,3,3.7,3.9,3.5,Middle east,2022-07-01 00:00:00
Drought in Zambia,Drought,ZMB002,Zambia,ZMB,Drought,2.8,3,Medium,Decreasing,High,3,4.3,2,3.35,3.7,3,1.9,1.8,2,Africa,2022-08-14 00:00:00
Complex crisis in Zimbabwe,Complex crisis,ZWE001,Zimbabwe,ZWE,Complex crisis,3.8,4,High,Stable,High,3.4,4.6,2.5,4.35,4.7,4,3,2.9,3,Africa,2022-08-21 00:00:00
